functionName,lotWeightKg,load,numCaliperWorkers,hotKeyWrites,hotParticipants,ledgerWrites,reads,payloadBytes,sendRate,success,failures,totalTransactions,throughput,failureRate,latency,avgLatency,function_clean
acceptoffer_f1_r1,10,1,1,2,2,3,3,34.8,1.0,2,8,10,0.8,0.8,100,3.28,acceptoffer
acceptoffer_f1_r1,10,4,1,2,2,3,3,34.8,4.4,3,22,25,4.3,0.88,100,1.06,acceptoffer
acceptoffer_f1_r1,10,10,1,2,2,3,3,34.8,4.6,3,47,50,6.0,0.94,100,0.53,acceptoffer
acceptoffer_f1_r1,10,20,1,2,2,3,3,34.8,19.8,3,102,105,12.7,0.9714285714285714,100,2.56,acceptoffer
acceptoffer_f1_r1,10,50,1,2,2,3,3,34.8,47.2,2,253,255,28.9,0.9921568627450981,100,3.31,acceptoffer
acceptoffer_f1_r1,10,100,1,2,2,3,3,34.8,89.5,2,503,505,56.5,0.996039603960396,100,3.53,acceptoffer
acceptoffer_f1_r1,10,200,1,2,2,3,3,34.8,187.8,2,973,975,110.4,0.997948717948718,100,3.18,acceptoffer
acceptoffer_f1_r1,10,400,1,2,2,3,3,34.8,263.5,2,1315,1317,153.0,0.9984813971146546,100,3.65,acceptoffer
acceptoffer_f1_r1,10,500,1,2,2,3,3,34.8,307.2,2,1529,1531,159.4,0.9986936642717178,100,,acceptoffer
acceptoffer_f10_r10,10,1,10,2,20,3,3,34.8,1.7,18,2,20,1.5,0.1,100,2.44,acceptoffer
acceptoffer_f10_r10,10,4,10,2,20,3,3,34.8,4.1,26,4,30,2.9,0.1333333333333333,100,2.04,acceptoffer
acceptoffer_f10_r10,10,10,10,2,20,3,3,34.8,8.5,23,34,57,6.7,0.5964912280701754,100,2.32,acceptoffer
acceptoffer_f10_r10,10,20,10,2,20,3,3,34.8,15.4,24,67,91,9.7,0.7362637362637363,100,2.37,acceptoffer
acceptoffer_f10_r10,10,50,10,2,20,3,3,34.8,46.0,10,245,255,28.6,0.9607843137254902,100,3.54,acceptoffer
acceptoffer_f10_r10,10,100,10,2,20,3,3,34.8,54.1,14,286,300,42.7,0.9533333333333334,100,3.56,acceptoffer
acceptoffer_f10_r10,10,200,10,2,20,3,3,34.8,122.5,12,588,600,61.1,0.98,100,5.8,acceptoffer
acceptoffer_f10_r10,10,400,10,2,20,3,3,34.8,194.4,12,1188,1200,119.6,0.99,100,5.07,acceptoffer
acceptoffer_f10_r10,10,500,10,2,20,3,3,34.8,100.2,6,354,360,52.3,0.9833333333333333,100,2.97,acceptoffer
acceptoffer_f15_r15,10,1,15,2,30,3,3,34.8,1.8,28,2,30,1.6,0.06666666666666667,100,2.55,acceptoffer
acceptoffer_f15_r15,10,4,15,2,30,3,3,34.8,3.9,51,0,51,3.5,0.0,100,2.24,acceptoffer
acceptoffer_f15_r15,10,10,15,2,30,3,3,34.8,8.7,46,29,75,6.7,0.3866666666666667,100,2.2,acceptoffer
acceptoffer_f15_r15,10,20,15,2,30,3,3,34.8,14.9,37,83,120,12.6,0.6916666666666667,100,2.83,acceptoffer
acceptoffer_f15_r15,10,50,15,2,30,3,3,34.8,42.4,10,245,255,27.6,0.9607843137254902,100,3.5,acceptoffer
acceptoffer_f15_r15,10,100,15,2,30,3,3,34.8,53.7,20,280,300,40.2,0.9333333333333333,100,3.58,acceptoffer
acceptoffer_f15_r15,10,200,15,2,30,3,3,34.8,41.8,18,297,315,29.1,0.9428571428571428,100,1.34,acceptoffer
acceptoffer_f15_r15,10,400,15,2,30,3,3,34.8,309.2,6,1999,2005,163.5,0.9970074812967581,100,6.33,acceptoffer
acceptoffer_f15_r15,10,500,15,2,30,3,3,34.8,176.2,15,1537,1552,219.5,0.9903350515463918,100,1.35,acceptoffer
acceptoffer_f2_r2,10,1,2,2,4,3,3,34.8,1.7,4,6,10,1.2,0.6,100,3.1,acceptoffer
acceptoffer_f2_r2,10,4,2,2,4,3,3,34.8,4.4,6,19,25,4.3,0.76,100,1.16,acceptoffer
acceptoffer_f2_r2,10,10,2,2,4,3,3,34.8,9.6,6,49,55,6.8,0.8909090909090909,100,2.16,acceptoffer
acceptoffer_f2_r2,10,20,2,2,4,3,3,34.8,18.0,6,99,105,11.5,0.9428571428571428,100,2.54,acceptoffer
acceptoffer_f2_r2,10,50,2,2,4,3,3,34.8,44.6,4,251,255,27.1,0.984313725490196,100,3.58,acceptoffer
acceptoffer_f2_r2,10,100,2,2,4,3,3,34.8,93.4,4,501,505,56.3,0.9920792079207921,100,3.54,acceptoffer
acceptoffer_f2_r2,10,200,2,2,4,3,3,34.8,69.1,6,591,597,67.7,0.9899497487437185,100,0.28,acceptoffer
acceptoffer_f2_r2,10,400,2,2,4,3,3,34.8,334.3,3,1766,1769,172.0,0.998304126625212,100,4.77,acceptoffer
acceptoffer_f2_r2,10,500,2,2,4,3,3,34.8,191.7,2,775,777,101.3,0.9974259974259975,100,2.93,acceptoffer
acceptoffer_f20_r20,10,1,20,2,40,3,3,34.8,0.9,10,0,10,0.8,0.0,100,5.31,acceptoffer
acceptoffer_f20_r20,10,4,20,2,40,3,3,34.8,4.1,11,14,25,3.2,0.56,100,2.3,acceptoffer
acceptoffer_f20_r20,10,10,20,2,40,3,3,34.8,9.0,15,40,55,6.5,0.7272727272727273,100,2.13,acceptoffer
acceptoffer_f20_r20,10,20,20,2,40,3,3,34.8,4.2,8,44,52,3.5,0.8461538461538461,100,4.22,acceptoffer
acceptoffer_f20_r20,10,50,20,2,40,3,3,34.8,45.4,10,245,255,28.2,0.9607843137254902,100,3.71,acceptoffer
acceptoffer_f20_r20,10,100,20,2,40,3,3,34.8,79.8,8,497,505,52.6,0.9841584158415841,100,4.43,acceptoffer
acceptoffer_f20_r20,10,200,20,2,40,3,3,34.8,148.0,8,997,1005,101.7,0.9920398009950249,100,4.88,acceptoffer
acceptoffer_f20_r20,10,400,20,2,40,3,3,34.8,310.5,6,1990,1996,276.7,0.996993987975952,100,2.1,acceptoffer
acceptoffer_f20_r20,10,500,20,2,40,3,3,34.8,413.0,6,2467,2473,182.4,0.997573797007683,100,6.34,acceptoffer
acceptoffer_f24_r24,10,1,24,2,48,3,3,34.8,1.6,10,0,10,0.1,0.0,100,109.87,acceptoffer
acceptoffer_f24_r24,10,4,24,2,48,3,3,34.8,3.8,14,11,25,3.1,0.44,100,1.99,acceptoffer
