functionName,lotWeightKg,load,numCaliperWorkers,hotKeyWrites,hotParticipants,ledgerWrites,reads,payloadBytes,sendRate,success,failures,totalTransactions,throughput,failureRate,latency,avgLatency,function_clean
makeoffer_r1_1,10,1,1,1,1,1,2,40.65,1.6,6,2,8,1.6,0.5,0,0.69,makeoffer
makeoffer_r1_1,10,4,1,1,1,1,2,40.65,4.6,15,9,24,3.5,0.75,0,0.42,makeoffer
makeoffer_r1_1,10,10,1,1,1,1,2,40.65,10.6,30,24,54,9.1,0.8888888888888888,0,0.19,makeoffer
makeoffer_r1_1,10,20,1,1,1,1,2,40.65,20.6,58,46,104,14.9,0.8846153846153846,0,0.12,makeoffer
makeoffer_r1_1,10,50,1,1,1,1,2,40.65,50.5,140,114,254,37.1,0.8976377952755905,0,0.05,makeoffer
makeoffer_r1_1,10,100,1,1,1,1,2,40.65,100.5,276,228,504,71.4,0.9047619047619048,0,0.02,makeoffer
makeoffer_r1_1,10,200,1,1,1,1,2,40.65,200.5,548,456,1004,142.4,0.9083665338645418,0,0.02,makeoffer
makeoffer_r1_1,10,400,1,1,1,1,2,40.65,115.7,441,381,822,89.9,0.927007299270073,0,-0.02,makeoffer
makeoffer_r1_1,10,500,1,1,1,1,2,40.65,337.9,910,788,1698,240.0,0.928150765606596,0,0.02,makeoffer
makeoffer_r1_10,10,1,1,0,10,0,0,0.0,1.6,8,0,8,1.1,0.0,0,0.9,makeoffer
makeoffer_r1_10,10,4,1,0,10,0,0,0.0,4.6,23,1,24,3.5,0.08333333333333333,0,0.64,makeoffer
makeoffer_r1_10,10,10,1,0,10,0,0,0.0,10.6,42,12,54,9.1,0.4444444444444444,0,0.47,makeoffer
makeoffer_r1_10,10,20,1,0,10,0,0,0.0,20.6,85,19,104,14.8,0.3653846153846154,0,0.28,makeoffer
makeoffer_r1_10,10,50,1,0,10,0,0,0.0,50.5,213,41,254,37.1,0.3228346456692913,0,0.16,makeoffer
makeoffer_r1_10,10,100,1,0,10,0,0,0.0,100.5,408,96,504,72.3,0.3809523809523809,0,0.08,makeoffer
makeoffer_r1_10,10,200,1,0,10,0,0,0.0,200.4,802,202,1004,146.0,0.4023904382470119,0,0.04,makeoffer
makeoffer_r1_10,10,400,1,0,10,0,0,0.0,349.5,1266,488,1754,248.2,0.556442417331813,0,0.04,makeoffer
makeoffer_r1_10,10,500,1,0,10,0,0,0.0,365.0,1299,533,1832,260.3,0.5818777292576419,0,0.04,makeoffer
makeoffer_r1_2,10,1,1,0,2,0,0,0.0,1.6,8,0,8,1.1,0.0,0,0.91,makeoffer
makeoffer_r1_2,10,4,1,0,2,0,0,0.0,4.6,18,6,24,3.8,0.5,0,0.56,makeoffer
makeoffer_r1_2,10,10,1,0,2,0,0,0.0,10.6,33,21,54,9.1,0.7777777777777778,0,0.33,makeoffer
makeoffer_r1_2,10,20,1,0,2,0,0,0.0,20.6,63,41,104,14.8,0.7884615384615384,0,0.18,makeoffer
makeoffer_r1_2,10,50,1,0,2,0,0,0.0,50.6,153,101,254,37.1,0.7952755905511811,0,0.09,makeoffer
makeoffer_r1_2,10,100,1,0,2,0,0,0.0,100.5,301,203,504,71.4,0.8055555555555556,0,0.04,makeoffer
makeoffer_r1_2,10,200,1,0,2,0,0,0.0,200.5,593,411,1004,142.4,0.8187250996015937,0,0.02,makeoffer
makeoffer_r1_2,10,400,1,0,2,0,0,0.0,353.1,1000,770,1770,250.9,0.8700564971751412,0,0.03,makeoffer
makeoffer_r1_2,10,500,1,0,2,0,0,0.0,362.3,1032,788,1820,259.9,0.865934065934066,0,0.03,makeoffer
makeoffer_r1_20,10,1,1,0,20,0,0,0.0,1.6,8,0,8,1.1,0.0,0,0.91,makeoffer
makeoffer_r1_20,10,4,1,0,20,0,0,0.0,4.6,23,1,24,3.8,0.08333333333333333,0,0.65,makeoffer
makeoffer_r1_20,10,10,1,0,20,0,0,0.0,10.6,48,6,54,9.1,0.2222222222222222,0,0.56,makeoffer
makeoffer_r1_20,10,20,1,0,20,0,0,0.0,20.6,94,10,104,14.8,0.1923076923076923,0,0.27,makeoffer
makeoffer_r1_20,10,50,1,0,20,0,0,0.0,50.5,226,28,254,37.2,0.2204724409448819,0,0.15,makeoffer
makeoffer_r1_20,10,100,1,0,20,0,0,0.0,100.5,446,58,504,72.1,0.2301587301587301,0,0.09,makeoffer
makeoffer_r1_20,10,200,1,0,20,0,0,0.0,200.4,877,129,1006,143.9,0.2564612326043738,0,0.06,makeoffer
makeoffer_r1_20,10,400,1,0,20,0,0,0.0,335.1,1331,351,1682,237.2,0.4173602853745541,0,0.05,makeoffer
makeoffer_r1_20,10,500,1,0,20,0,0,0.0,364.2,1423,405,1828,259.9,0.4431072210065646,0,0.06,makeoffer
makeoffer_r1_30,10,1,1,0,30,0,0,0.0,1.6,8,0,8,1.1,0.0,0,0.91,makeoffer
makeoffer_r1_30,10,4,1,0,30,0,0,0.0,4.6,23,1,24,3.5,0.08333333333333333,0,0.6,makeoffer
makeoffer_r1_30,10,10,1,0,30,0,0,0.0,10.6,51,3,54,9.1,0.1111111111111111,0,0.55,makeoffer
makeoffer_r1_30,10,20,1,0,30,0,0,0.0,20.6,97,7,104,14.8,0.1346153846153846,0,0.27,makeoffer
makeoffer_r1_30,10,50,1,0,30,0,0,0.0,50.6,234,20,254,37.1,0.1574803149606299,0,0.16,makeoffer
makeoffer_r1_30,10,100,1,0,30,0,0,0.0,100.5,465,39,504,72.1,0.1547619047619048,0,0.09,makeoffer
makeoffer_r1_30,10,200,1,0,30,0,0,0.0,200.6,906,98,1004,143.4,0.1952191235059761,0,0.05,makeoffer
makeoffer_r1_30,10,400,1,0,30,0,0,0.0,359.4,1527,281,1808,255.5,0.3108407079646018,0,0.05,makeoffer
makeoffer_r1_30,10,500,1,0,30,0,0,0.0,357.1,1490,304,1794,253.4,0.338907469342252,0,0.06,makeoffer
makeoffer_r1_40,10,1,1,0,40,0,0,0.0,1.6,8,0,8,1.6,0.0,0,0.66,makeoffer
makeoffer_r1_40,10,4,1,0,40,0,0,0.0,4.6,24,0,24,3.6,0.0,0,0.62,makeoffer
makeoffer_r1_40,10,10,1,0,40,0,0,0.0,10.6,52,2,54,9.1,0.07407407407407407,0,0.56,makeoffer
makeoffer_r1_40,10,20,1,0,40,0,0,0.0,20.6,100,4,104,14.9,0.07692307692307693,0,0.28,makeoffer
makeoffer_r1_40,10,50,1,0,40,0,0,0.0,50.6,240,14,254,37.1,0.1102362204724409,0,0.16,makeoffer
makeoffer_r1_40,10,100,1,0,40,0,0,0.0,100.5,473,31,504,72.4,0.123015873015873,0,0.09,makeoffer
makeoffer_r1_40,10,200,1,0,40,0,0,0.0,200.2,934,70,1004,142.8,0.1394422310756972,0,0.05,makeoffer
makeoffer_r1_40,10,400,1,0,40,0,0,0.0,338.0,1500,198,1698,241.5,0.2332155477031802,0,0.06,makeoffer
makeoffer_r1_40,10,500,1,0,40,0,0,0.0,355.2,1557,227,1784,252.4,0.2544843049327354,0,0.05,makeoffer
makeoffer_r1_5,10,1,1,0,5,0,0,0.0,1.6,8,0,8,1.6,0.0,0,0.66,makeoffer
makeoffer_r1_5,10,4,1,0,5,0,0,0.0,4.6,20,4,24,3.8,0.3333333333333333,0,0.55,makeoffer
makeoffer_r1_5,10,10,1,0,5,0,0,0.0,10.6,39,15,54,9.1,0.5555555555555556,0,0.43,makeoffer
makeoffer_r1_5,10,20,1,0,5,0,0,0.0,20.6,79,25,104,14.9,0.4807692307692308,0,0.25,makeoffer
makeoffer_r1_5,10,50,1,0,5,0,0,0.0,50.5,184,70,254,37.1,0.5511811023622047,0,0.14,makeoffer
makeoffer_r1_5,10,100,1,0,5,0,0,0.0,100.5,356,148,504,71.7,0.5873015873015873,0,0.06,makeoffer
makeoffer_r1_5,10,200,1,0,5,0,0,0.0,200.8,710,296,1006,143.4,0.588469184890656,0,0.04,makeoffer
makeoffer_r1_5,10,400,1,0,5,0,0,0.0,341.2,1093,619,1712,242.0,0.7231308411214953,0,0.04,makeoffer
makeoffer_r1_5,10,500,1,0,5,0,0,0.0,348.2,1100,644,1744,247.6,0.7385321100917431,0,0.04,makeoffer
makeoffer_r10_1,10,1,10,1,1,1,2,40.65,2.0,2,18,20,2.0,0.9,0,0.11,makeoffer
makeoffer_r10_1,10,2,10,1,1,1,2,40.65,7.8,22,18,40,7.8,0.9,0,0.02,makeoffer
makeoffer_r10_1,10,4,10,1,1,1,2,40.65,5.8,3,27,30,5.7,0.9,0,0.2,makeoffer
makeoffer_r10_1,10,8,10,1,1,1,2,40.65,12.6,44,36,80,12.6,0.9,0,0.02,makeoffer
makeoffer_r10_1,10,10,10,1,1,1,2,40.65,11.4,7,63,70,11.3,0.9,0,0.21,makeoffer
makeoffer_r10_1,10,20,10,1,1,1,2,40.65,21.7,11,99,110,21.5,0.9,0,0.11,makeoffer
makeoffer_r10_1,10,50,10,1,1,1,2,40.65,51.0,26,234,260,50.5,0.9,0,0.15,makeoffer
makeoffer_r10_1,10,100,10,1,1,1,2,40.65,100.5,51,459,510,99.6,0.9,0,0.12,makeoffer
makeoffer_r10_1,10,200,10,1,1,1,2,40.65,197.6,79,932,1011,142.8,0.9218595450049456,0,0.1,makeoffer
makeoffer_r10_1,10,400,10,1,1,1,2,40.65,394.8,32,1978,2010,281.7,0.9840796019900497,0,0.21,makeoffer
