functionName,lotWeightKg,load,numCaliperWorkers,hotKeyWrites,hotParticipants,ledgerWrites,reads,payloadBytes,sendRate,success,failures,totalTransactions,throughput,failureRate,latency,avgLatency,function_clean
pack_r1,10,1,1,0,0,58,1,90.77,1.2,6,0,6,0.6,0.0,50,,pack
pack_r1,10,4,1,0,0,58,1,90.77,4.2,15,6,21,2.3,0.2857142857142857,50,,pack
pack_r1,10,10,1,0,0,58,1,90.77,10.2,30,21,51,6.0,0.4117647058823529,50,,pack
pack_r1,10,20,1,0,0,58,1,90.77,20.2,50,51,101,12.0,0.504950495049505,50,,pack
pack_r1,10,50,1,0,0,58,1,90.77,50.2,150,101,251,26.7,0.4023904382470119,50,,pack
pack_r1,10,100,1,0,0,58,1,90.77,100.3,250,251,501,54.7,0.500998003992016,50,,pack
pack_r1,10,200,1,0,0,58,1,90.77,200.2,500,501,1001,85.7,0.5004995004995005,50,,pack
pack_r1,10,500,1,0,0,58,1,90.77,383.5,916,1001,1917,97.9,0.5221700573813249,50,,pack
pack_r10,10,1,10,0,0,58,1,90.77,1.9,20,0,20,1.4,0.0,50,,pack
pack_r10,10,4,10,0,0,58,1,90.77,5.2,10,20,30,3.2,0.6666666666666666,50,,pack
pack_r10,10,10,10,0,0,58,1,90.77,10.3,30,30,60,6.5,0.5,50,,pack
pack_r10,10,20,10,0,0,58,1,90.77,19.3,50,60,110,12.0,0.5454545454545454,50,,pack
pack_r10,10,50,10,0,0,58,1,90.77,43.5,150,110,260,27.2,0.4230769230769231,50,,pack
pack_r10,10,100,10,0,0,58,1,90.77,92.4,250,260,510,51.8,0.5098039215686274,50,,pack
pack_r10,10,200,10,0,0,58,1,90.77,173.4,500,510,1010,86.2,0.504950495049505,50,,pack
pack_r15,10,1,15,0,0,58,1,90.77,0.6,10,0,10,0.5,0.0,50,,pack
pack_r15,10,4,15,0,0,58,1,90.77,1.9,15,0,15,1.2,0.0,50,,pack
pack_r15,10,10,15,0,0,58,1,90.77,3.7,25,0,25,2.1,0.0,50,,pack
pack_r15,10,20,15,0,0,58,1,90.77,6.4,40,0,40,3.2,0.0,50,,pack
pack_r15,10,100,15,0,0,58,1,90.77,28.6,100,0,100,14.4,0.0,50,,pack
pack_r15,10,200,15,0,0,58,1,90.77,112.0,432,0,432,45.7,0.0,50,,pack
pack_r2,10,1,2,0,0,58,1,90.77,1.3,8,0,8,0.6,0.0,50,,pack
pack_r2,10,4,2,0,0,58,1,90.77,4.4,14,8,22,2.2,0.3636363636363636,50,,pack
pack_r2,10,10,2,0,0,58,1,90.77,10.3,30,22,52,6.0,0.4230769230769231,50,,pack
pack_r2,10,20,2,0,0,58,1,90.77,20.2,50,52,102,12.1,0.5098039215686274,50,,pack
pack_r2,10,50,2,0,0,58,1,90.77,49.9,150,102,252,27.3,0.4047619047619048,50,,pack
pack_r2,10,100,2,0,0,58,1,90.77,99.4,250,252,502,54.8,0.50199203187251,50,,pack
pack_r2,10,200,2,0,0,58,1,90.77,198.1,500,502,1002,98.3,0.500998003992016,50,,pack
pack_r2,10,500,2,0,0,58,1,90.77,495.0,1500,1002,2502,144.1,0.4004796163069544,50,,pack
pack_r20,10,1,20,0,0,58,1,90.77,0.0,0,0,0,0.0,0.0,50,0.0,pack
pack_r20,10,4,20,0,0,58,1,90.77,0.0,0,0,0,0.0,0.0,50,0.0,pack
pack_r20,10,10,20,0,0,58,1,90.77,0.0,0,0,0,0.0,0.0,50,0.0,pack
pack_r20,10,20,20,0,0,58,1,90.77,0.0,0,0,0,0.0,0.0,50,0.0,pack
pack_r20,10,50,20,0,0,58,1,90.77,0.0,0,0,0,0.0,0.0,50,0.0,pack
pack_r20,10,100,20,0,0,58,1,90.77,0.0,0,0,0,0.0,0.0,50,0.0,pack
pack_r20,10,200,20,0,0,58,1,90.77,0.0,0,0,0,0.0,0.0,50,0.0,pack
pack_r20,10,400,20,0,0,58,1,90.77,0.0,0,0,0,0.0,0.0,50,0.0,pack
pack_r20,10,500,20,0,0,58,1,90.77,0.0,0,0,0,0.0,0.0,50,0.0,pack
pack_r24,10,1,24,0,0,58,1,90.77,0.0,0,0,0,0.0,0.0,50,0.0,pack
pack_r24,10,4,24,0,0,58,1,90.77,0.0,0,0,0,0.0,0.0,50,0.0,pack
pack_r24,10,10,24,0,0,58,1,90.77,0.0,0,0,0,0.0,0.0,50,0.0,pack
pack_r24,10,20,24,0,0,58,1,90.77,0.0,0,0,0,0.0,0.0,50,0.0,pack
pack_r24,10,50,24,0,0,58,1,90.77,0.0,0,0,0,0.0,0.0,50,0.0,pack
pack_r24,10,100,24,0,0,58,1,90.77,0.0,0,0,0,0.0,0.0,50,0.0,pack
pack_r24,10,200,24,0,0,58,1,90.77,0.0,0,0,0,0.0,0.0,50,0.0,pack
pack_r24,10,400,24,0,0,58,1,90.77,0.0,0,0,0,0.0,0.0,50,0.0,pack
pack_r24,10,500,24,0,0,58,1,90.77,0.0,0,0,0,0.0,0.0,50,0.0,pack
pack_r5,10,1,5,0,0,58,1,90.77,1.8,10,0,10,0.9,0.0,50,5.57,pack
pack_r5,10,4,5,0,0,58,1,90.77,4.5,25,0,25,2.0,0.0,50,6.31,pack
pack_r5,10,10,5,0,0,58,1,90.77,10.3,55,0,55,4.4,0.0,50,6.79,pack
pack_r5,10,20,5,0,0,58,1,90.77,20.1,50,55,105,12.3,0.5238095238095238,50,,pack
pack_r5,10,50,5,0,0,58,1,90.77,47.2,180,0,180,24.0,0.0,50,5.23,pack
pack_r5,10,100,5,0,0,58,1,90.77,93.5,300,0,300,39.6,0.0,50,5.31,pack
pack_r5,10,200,5,0,0,58,1,90.77,191.9,600,0,600,66.5,0.0,50,6.11,pack
pack_r5,10,500,5,0,0,58,1,90.77,462.2,1800,0,1800,107.8,0.0,50,10.45,pack
