functionName,lotWeightKg,load,numCaliperWorkers,hotKeyWrites,hotParticipants,ledgerWrites,reads,payloadBytes,sendRate,success,failures,totalTransactions,throughput,failureRate,latency,avgLatency,function_clean
purchase_c1_r1,10,1,1,2,2,3,3,41.6,1.5,3,12,15,1.1,0.8,100,3.25,purchase
purchase_c1_r1,10,4,1,2,2,3,3,41.6,2.2,3,22,25,2.7,0.88,100,-0.53,purchase
purchase_c1_r1,10,10,1,2,2,3,3,41.6,10.1,4,61,65,7.0,0.9384615384615385,100,2.6,purchase
purchase_c1_r1,10,20,1,2,2,3,3,41.6,19.5,4,121,125,12.7,0.968,100,2.82,purchase
purchase_c1_r1,10,50,1,2,2,3,3,41.6,46.0,3,302,305,31.2,0.9901639344262295,100,2.71,purchase
purchase_c1_r1,10,100,1,2,2,3,3,41.6,51.3,3,558,561,40.2,0.9946524064171123,100,1.83,purchase
purchase_c1_r1,10,200,1,2,2,3,3,41.6,185.6,2,1203,1205,119.0,0.9983402489626556,100,4.1,purchase
purchase_c1_r1,10,400,1,2,2,3,3,41.6,375.5,2,2403,2405,176.6,0.9991683991683992,100,4.76,purchase
purchase_c10_r10,10,1,10,2,20,3,3,41.6,1.4,15,0,15,1.1,0.0,100,2.98,purchase
purchase_c10_r10,10,4,10,2,20,3,3,41.6,4.2,15,15,30,3.0,0.5,100,2.38,purchase
purchase_c10_r10,10,10,10,2,20,3,3,41.6,9.9,19,46,65,6.7,0.7076923076923077,100,2.52,purchase
purchase_c10_r10,10,20,10,2,20,3,3,41.6,19.2,18,107,125,13.0,0.856,100,2.63,purchase
purchase_c10_r10,10,50,10,2,20,3,3,41.6,44.0,10,295,305,30.5,0.9672131147540983,100,3.62,purchase
purchase_c10_r10,10,100,10,2,20,3,3,41.6,96.0,10,595,605,62.8,0.9834710743801653,100,4.06,purchase
purchase_c10_r10,10,200,10,2,20,3,3,41.6,160.1,7,1198,1205,108.1,0.9941908713692946,100,5.75,purchase
purchase_c10_r10,10,400,10,2,20,3,3,41.6,327.8,6,2378,2384,171.6,0.99748322147651,100,6.45,purchase
purchase_c10_r10,10,500,10,2,20,3,3,41.6,455.7,11,2946,2957,245.9,0.9962800135272235,100,2.55,purchase
purchase_c15_r15,10,1,15,2,30,3,3,41.6,1.4,15,0,15,1.1,0.0,100,2.58,purchase
purchase_c15_r15,10,4,15,2,30,3,3,41.6,4.2,15,15,30,3.0,0.5,100,2.31,purchase
purchase_c15_r15,10,10,15,2,30,3,3,41.6,6.0,11,36,47,4.4,0.7659574468085106,100,1.71,purchase
purchase_c15_r15,10,20,15,2,30,3,3,41.6,18.9,15,110,125,12.7,0.88,100,2.71,purchase
purchase_c15_r15,10,50,15,2,30,3,3,41.6,42.2,13,292,305,29.5,0.9573770491803278,100,3.37,purchase
purchase_c15_r15,10,100,15,2,30,3,3,41.6,93.0,10,595,605,62.6,0.9834710743801653,100,3.93,purchase
purchase_c15_r15,10,200,15,2,30,3,3,41.6,179.6,8,1197,1205,121.4,0.9933609958506224,100,5.17,purchase
purchase_c15_r15,10,400,15,2,30,3,3,41.6,342.8,6,2399,2405,165.7,0.9975051975051975,100,6.87,purchase
purchase_c15_r15,10,500,15,2,30,3,3,41.6,410.0,6,2970,2976,184.1,0.9979838709677419,100,6.99,purchase
purchase_c2_r2,10,1,2,2,4,3,3,41.6,1.4,6,9,15,1.1,0.6,100,3.06,purchase
purchase_c2_r2,10,4,2,2,4,3,3,41.6,4.5,6,24,30,3.8,0.8,100,2.65,purchase
purchase_c2_r2,10,10,2,2,4,3,3,41.6,4.2,4,34,38,3.7,0.8947368421052632,100,2.22,purchase
purchase_c2_r2,10,20,2,2,4,3,3,41.6,18.2,9,118,127,12.9,0.9291338582677166,100,2.47,purchase
purchase_c2_r2,10,50,2,2,4,3,3,41.6,45.8,5,300,305,31.2,0.9836065573770492,100,3.34,purchase
purchase_c2_r2,10,100,2,2,4,3,3,41.6,93.0,4,601,605,62.5,0.9933884297520661,100,4.09,purchase
purchase_c2_r2,10,200,2,2,4,3,3,41.6,186.7,4,1201,1205,120.4,0.9966804979253112,100,4.52,purchase
purchase_c2_r2,10,400,2,2,4,3,3,41.6,375.9,4,2393,2397,182.5,0.9983312473925741,100,5.42,purchase
purchase_c2_r2,10,500,2,2,4,3,3,41.6,84.2,2,667,669,57.1,0.9970104633781763,100,5.58,purchase
purchase_c20_r20,10,1,20,2,40,3,3,41.6,1.4,15,0,15,1.1,0.0,100,2.96,purchase
purchase_c20_r20,10,4,20,2,40,3,3,41.6,3.9,15,15,30,2.8,0.5,100,2.26,purchase
purchase_c20_r20,10,10,20,2,40,3,3,41.6,4.9,15,32,47,3.8,0.6808510638297872,100,4.61,purchase
purchase_c20_r20,10,20,20,2,40,3,3,41.6,17.2,19,106,125,12.5,0.848,100,2.51,purchase
purchase_c20_r20,10,50,20,2,40,3,3,41.6,29.1,15,288,303,21.9,0.9504950495049505,100,3.12,purchase
purchase_c20_r20,10,100,20,2,40,3,3,41.6,91.0,10,595,605,61.7,0.9834710743801653,100,3.97,purchase
purchase_c20_r20,10,200,20,2,40,3,3,41.6,171.4,9,1195,1204,79.8,0.9925249169435216,100,5.52,purchase
purchase_c20_r20,10,400,20,2,40,3,3,41.6,255.0,6,2375,2381,142.2,0.997480050398992,100,8.8,purchase
purchase_c20_r20,10,500,20,2,40,3,3,41.6,378.3,6,2977,2983,181.5,0.9979886020784445,100,6.78,purchase
purchase_c24_r24,10,1,24,2,48,3,3,41.6,1.3,15,0,15,1.1,0.0,100,2.62,purchase
purchase_c24_r24,10,4,24,2,48,3,3,41.6,4.1,15,15,30,4.0,0.5,100,1.64,purchase
purchase_c24_r24,10,10,24,2,48,3,3,41.6,9.2,18,47,65,6.8,0.7230769230769231,100,2.31,purchase
purchase_c24_r24,10,20,24,2,48,3,3,41.6,17.3,18,107,125,11.9,0.856,100,3.07,purchase
purchase_c24_r24,10,50,24,2,48,3,3,41.6,47.6,10,295,305,31.1,0.9672131147540983,100,3.93,purchase
purchase_c24_r24,10,100,24,2,48,3,3,41.6,27.0,7,199,206,18.8,0.9660194174757282,100,6.52,purchase
purchase_c24_r24,10,200,24,2,48,3,3,41.6,171.3,7,1196,1203,112.6,0.9941812136325852,100,5.49,purchase
purchase_c24_r24,10,400,24,2,48,3,3,41.6,130.1,6,1017,1023,146.0,0.9941348973607038,100,3.7,purchase
purchase_c24_r24,10,500,24,2,48,3,3,41.6,420.0,7,2875,2882,252.4,0.9975711311589174,100,5.23,purchase
purchase_c4_r4,10,1,4,2,8,3,3,41.6,1.4,12,3,15,1.1,0.2,100,3.01,purchase
purchase_c4_r4,10,4,4,2,8,3,3,41.6,2.9,11,15,26,3.1,0.5769230769230769,100,2.14,purchase
purchase_c4_r4,10,10,4,2,8,3,3,41.6,9.7,16,49,65,6.8,0.7538461538461538,100,2.43,purchase
purchase_c4_r4,10,20,4,2,8,3,3,41.6,18.4,14,111,125,12.5,0.888,100,2.75,purchase
purchase_c4_r4,10,50,4,2,8,3,3,41.6,18.8,12,152,164,14.1,0.926829268292683,100,1.45,purchase
purchase_c4_r4,10,100,4,2,8,3,3,41.6,89.9,8,597,605,62.4,0.9867768595041322,100,4.01,purchase
purchase_c4_r4,10,200,4,2,8,3,3,41.6,183.8,7,1197,1204,117.8,0.9941860465116279,100,4.92,purchase
purchase_c4_r4,10,400,4,2,8,3,3,41.6,355.5,6,2377,2383,176.4,0.9974821653378095,100,6.27,purchase
purchase_c4_r4,10,500,4,2,8,3,3,41.6,185.5,9,1590,1599,140.3,0.9943714821763602,100,3.91,purchase
