functionName,lotWeightKg,load,numCaliperWorkers,hotKeyWrites,hotParticipants,ledgerWrites,reads,payloadBytes,sendRate,success,failures,totalTransactions,throughput,failureRate,latency,avgLatency,function_clean
submitproduce_f1_a1,10,1,1,2,2,3,3,64.72,1.2,2,4,6,1.0,0.6666666666666666,100,,submitproduce
submitproduce_f1_a1,10,4,1,2,2,3,3,64.72,4.2,2,19,21,2.7,0.9047619047619048,100,,submitproduce
submitproduce_f1_a1,10,10,1,2,2,3,3,64.72,10.2,4,47,51,6.0,0.9215686274509803,100,,submitproduce
submitproduce_f1_a1,10,20,1,2,2,3,3,64.72,20.2,4,97,101,12.0,0.9603960396039604,100,,submitproduce
submitproduce_f1_a1,10,50,1,2,2,3,3,64.72,50.2,2,249,251,29.5,0.9920318725099602,100,,submitproduce
submitproduce_f1_a1,10,100,1,2,2,3,3,64.72,98.2,2,493,495,57.4,0.9959595959595959,100,,submitproduce
submitproduce_f1_a1,10,200,1,2,2,3,3,64.72,197.9,2,987,989,117.8,0.9979777553083923,100,,submitproduce
submitproduce_f1_a1,10,400,1,2,2,3,3,64.72,79.3,2,538,540,67.0,0.9962962962962963,100,2.14,submitproduce
submitproduce_f1_a1,10,500,1,2,2,3,3,64.72,287.7,2,1457,1459,154.5,0.9986291980808774,100,,submitproduce
submitproduce_f10_a10,10,1,10,2,20,3,3,64.72,1.6,14,6,20,1.3,0.3,100,,submitproduce
submitproduce_f10_a10,10,4,10,2,20,3,3,64.72,4.5,19,11,30,3.9,0.3666666666666666,100,,submitproduce
submitproduce_f10_a10,10,10,10,2,20,3,3,64.72,9.5,24,36,60,7.8,0.6,100,,submitproduce
submitproduce_f10_a10,10,20,10,2,20,3,3,64.72,16.4,24,86,110,13.5,0.7818181818181819,100,,submitproduce
submitproduce_f10_a10,10,50,10,2,20,3,3,64.72,35.9,19,241,260,28.7,0.926923076923077,100,,submitproduce
submitproduce_f10_a10,10,100,10,2,20,3,3,64.72,70.4,17,493,510,55.5,0.9666666666666667,100,,submitproduce
submitproduce_f10_a10,10,200,10,2,20,3,3,64.72,145.4,14,996,1010,102.9,0.9861386138613861,100,,submitproduce
submitproduce_f10_a10,10,400,10,2,20,3,3,64.72,334.3,20,1977,1997,176.4,0.9899849774661993,100,4.55,submitproduce
submitproduce_f10_a10,10,500,10,2,20,3,3,64.72,307.6,12,2495,2507,169.7,0.9952134024730754,100,,submitproduce
submitproduce_f15_a15,10,1,15,2,30,3,3,64.72,1.6,18,12,30,1.5,0.4,100,,submitproduce
submitproduce_f15_a15,10,4,15,2,30,3,3,64.72,3.4,34,11,45,2.8,0.2444444444444444,100,,submitproduce
submitproduce_f15_a15,10,10,15,2,30,3,3,64.72,8.3,38,37,75,6.5,0.4933333333333333,100,,submitproduce
submitproduce_f15_a15,10,20,15,2,30,3,3,64.72,15.0,31,89,120,12.8,0.7416666666666667,100,,submitproduce
submitproduce_f15_a15,10,50,15,2,30,3,3,64.72,30.2,28,242,270,26.0,0.8962962962962963,100,,submitproduce
submitproduce_f15_a15,10,100,15,2,30,3,3,64.72,68.7,25,500,525,48.2,0.9523809523809523,100,,submitproduce
submitproduce_f15_a15,10,200,15,2,30,3,3,64.72,139.0,20,1000,1020,97.2,0.9803921568627451,100,,submitproduce
submitproduce_f15_a15,10,500,15,2,30,3,3,64.72,335.7,17,2501,2518,173.1,0.9932486100079428,100,,submitproduce
submitproduce_f2_a2,10,1,2,2,4,3,3,64.72,1.3,3,5,8,0.9,0.625,100,,submitproduce
submitproduce_f2_a2,10,4,2,2,4,3,3,64.72,4.3,4,18,22,2.9,0.8181818181818182,100,,submitproduce
submitproduce_f2_a2,10,10,2,2,4,3,3,64.72,10.2,6,46,52,6.5,0.8846153846153846,100,,submitproduce
submitproduce_f2_a2,10,20,2,2,4,3,3,64.72,20.0,7,95,102,11.8,0.9313725490196079,100,,submitproduce
submitproduce_f2_a2,10,50,2,2,4,3,3,64.72,49.4,4,248,252,29.3,0.9841269841269841,100,,submitproduce
submitproduce_f2_a2,10,100,2,2,4,3,3,64.72,98.3,4,498,502,58.5,0.9920318725099602,100,,submitproduce
submitproduce_f2_a2,10,200,2,2,4,3,3,64.72,195.7,4,997,1001,114.0,0.996003996003996,100,,submitproduce
submitproduce_f2_a2,10,500,2,2,4,3,3,64.72,468.2,4,2385,2389,199.6,0.9983256592716618,100,,submitproduce
submitproduce_f20_a20,10,1,20,2,40,3,3,64.72,1.6,25,15,40,1.5,0.375,100,2.64,submitproduce
submitproduce_f20_a20,10,4,20,2,40,3,3,64.72,4.6,25,15,40,3.7,0.375,100,2.28,submitproduce
submitproduce_f20_a20,10,10,20,2,40,3,3,64.72,8.0,45,35,80,8.3,0.4375,100,1.68,submitproduce
submitproduce_f20_a20,10,20,20,2,40,3,3,64.72,13.7,37,83,120,11.9,0.6916666666666667,100,2.67,submitproduce
submitproduce_f20_a20,10,50,20,2,40,3,3,64.72,29.0,35,245,280,25.5,0.875,100,3.8,submitproduce
submitproduce_f20_a20,10,100,20,2,40,3,3,64.72,54.5,30,490,520,42.9,0.9423076923076923,100,4.37,submitproduce
submitproduce_f20_a20,10,200,20,2,40,3,3,64.72,122.7,27,987,1014,90.8,0.9733727810650887,100,5.07,submitproduce
submitproduce_f20_a20,10,400,20,2,40,3,3,64.72,210.2,22,1962,1984,126.6,0.9889112903225806,100,6.5,submitproduce
submitproduce_f20_a20,10,500,20,2,40,3,3,64.72,256.9,21,2499,2520,8.6,0.9916666666666667,100,7.72,submitproduce
submitproduce_f24_a24,10,1,24,2,48,3,3,64.72,1.5,32,16,48,1.5,0.3333333333333333,100,2.7,submitproduce
submitproduce_f24_a24,10,4,24,2,48,3,3,64.72,4.4,33,15,48,3.8,0.3125,100,2.33,submitproduce
submitproduce_f24_a24,10,10,24,2,48,3,3,64.72,8.9,62,34,96,7.0,0.3541666666666667,100,2.02,submitproduce
submitproduce_f24_a24,10,20,24,2,48,3,3,64.72,12.7,57,89,146,10.7,0.6095890410958904,100,2.08,submitproduce
submitproduce_f24_a24,10,50,24,2,48,3,3,64.72,26.6,47,241,288,20.8,0.8368055555555556,100,3.65,submitproduce
submitproduce_f24_a24,10,100,24,2,48,3,3,64.72,48.4,34,494,528,37.4,0.9356060606060606,100,4.8,submitproduce
submitproduce_f24_a24,10,200,24,2,48,3,3,64.72,80.8,29,1003,1032,64.3,0.9718992248062015,100,5.82,submitproduce
submitproduce_f24_a24,10,400,24,2,48,3,3,64.72,203.5,33,1955,1988,136.8,0.9834004024144869,100,4.68,submitproduce
submitproduce_f24_a24,10,500,24,2,48,3,3,64.72,299.5,29,2503,2532,161.3,0.9885466034755134,100,6.98,submitproduce
submitproduce_f4_a4,10,1,4,2,8,3,3,64.72,1.4,7,5,12,1.1,0.4166666666666667,100,2.89,submitproduce
submitproduce_f4_a4,10,4,4,2,8,3,3,64.72,4.6,9,15,24,3.3,0.625,100,2.4,submitproduce
submitproduce_f4_a4,10,10,4,2,8,3,3,64.72,10.0,10,46,56,6.8,0.8214285714285714,100,2.11,submitproduce
submitproduce_f4_a4,10,20,4,2,8,3,3,64.72,19.6,12,92,104,12.6,0.8846153846153846,100,2.47,submitproduce
submitproduce_f4_a4,10,50,4,2,8,3,3,64.72,47.0,8,248,256,28.8,0.96875,100,3.27,submitproduce
submitproduce_f4_a4,10,100,4,2,8,3,3,64.72,91.5,8,496,504,57.7,0.9841269841269841,100,3.63,submitproduce
submitproduce_f4_a4,10,200,4,2,8,3,3,64.72,189.2,7,997,1004,81.6,0.9930278884462151,100,4.78,submitproduce
submitproduce_f4_a4,10,400,4,2,8,3,3,64.72,369.5,6,1958,1964,104.2,0.9969450101832994,100,5.99,submitproduce
submitproduce_f4_a4,10,500,4,2,8,3,3,64.72,443.5,5,2492,2497,109.0,0.9979975971165399,100,6.29,submitproduce
