functionName,lotWeightKg,load,numCaliperWorkers,hotKeyWrites,hotParticipants,ledgerWrites,reads,payloadBytes,sendRate,success,failures,totalTransactions,throughput,failureRate,latency,avgLatency,function_clean
testTeaLot_a1,10,1,1,0,0,1,1,484.79,1.2,6,0,6,0.7,0.0,200,2.9,testTeaLot
testTeaLot_a1,10,4,1,0,0,1,1,484.79,4.2,21,0,21,2.8,0.0,200,2.59,testTeaLot
testTeaLot_a1,10,10,1,0,0,1,1,484.79,10.2,51,0,51,6.2,0.0,200,2.12,testTeaLot
testTeaLot_a1,10,20,1,0,0,1,1,484.79,20.2,101,0,101,11.9,0.0,200,2.19,testTeaLot
testTeaLot_a1,10,50,1,0,0,1,1,484.79,50.2,251,0,251,29.3,0.0,200,3.46,testTeaLot
testTeaLot_a1,10,100,1,0,0,1,1,484.79,100.0,500,0,500,71.0,0.0,200,3.85,testTeaLot
testTeaLot_a1,10,200,1,0,0,1,1,484.79,150.0,750,0,750,96.1,0.0,200,4.79,testTeaLot
testTeaLot_a1,10,500,1,0,0,1,1,484.79,126.3,630,2,632,89.6,0.003164556962025316,200,4.51,testTeaLot
testTeaLot_a10,10,1,10,0,0,1,1,484.79,1.4,20,0,20,1.2,0.0,200,3.05,testTeaLot
testTeaLot_a10,10,4,10,0,0,1,1,484.79,3.6,30,0,30,2.8,0.0,200,2.8,testTeaLot
testTeaLot_a10,10,10,10,0,0,1,1,484.79,7.5,60,0,60,6.3,0.0,200,2.13,testTeaLot
testTeaLot_a10,10,20,10,0,0,1,1,484.79,11.2,110,0,110,8.9,0.0,200,2.18,testTeaLot
testTeaLot_a10,10,50,10,0,0,1,1,484.79,26.4,260,0,260,22.6,0.0,200,3.54,testTeaLot
testTeaLot_a10,10,100,10,0,0,1,1,484.79,61.6,510,0,510,52.5,0.0,200,4.06,testTeaLot
testTeaLot_a10,10,200,10,0,0,1,1,484.79,119.5,1009,1,1010,88.7,0.0009900990099009901,200,5.78,testTeaLot
testTeaLot_a10,10,500,10,0,0,1,1,484.79,320.1,2509,1,2510,152.2,0.000398406374501992,200,9.84,testTeaLot
